worldname	numPredators	numPrey	mean_energy
world_1	1	117	90.0
world_2	1	2	47.0
world_3	1	75	57.333333333333336
world_4	1	184	66.75
world_5	1	81	69.8
world_6	1	85	72.83333333333333
world_7	1	37	72.0
world_8	1	163	75.0
world_9	1	161	77.11111111111111
world_10	1	63	77.9
world_1	1	39	74.0
world_2	1	104	83.0
world_3	1	51	78.33333333333333
world_4	1	176	82.25
world_5	1	117	83.8
world_6	1	173	85.33333333333333
world_7	1	58	84.14285714285714
world_8	1	129	84.375
world_9	1	169	85.55555555555556
world_10	1	136	86.0
world_1	1	139	94.0
world_2	1	72	87.0
world_3	1	23	75.33333333333333
world_4	1	166	78.5
world_5	1	185	80.4
world_6	1	173	82.5
world_7	1	114	83.0
world_8	1	163	83.75
world_9	1	180	84.66666666666667
world_10	1	10	79.8
world_1	1	40	79.0
world_2	1	63	73.5
world_3	1	124	78.33333333333333
world_4	1	65	80.5
world_5	1	12	73.6
world_6	1	7	63.333333333333336
world_7	1	161	67.14285714285714
world_8	1	17	64.625
world_9	1	28	65.11111111111111
world_10	1	23	63.3
world_1	1	116	84.0
world_2	1	80	86.0
world_3	1	57	85.0
world_4	1	115	85.0
world_5	1	89	85.0
world_6	1	24	81.66666666666667
world_7	1	103	82.57142857142857
world_8	1	106	83.0
world_9	1	131	83.77777777777777
world_10	1	63	82.7
world_1	1	52	80.0
world_2	1	196	86.5
world_3	1	161	89.0
world_4	1	106	89.5
