worldname	numPredators	numPrey	mean_energy
world_5	9	100	67.296875
world_6	18	46	59.59756097560975
world_7	4	40	60.2906976744186
world_8	10	72	61.59375
world_9	11	70	61.2803738317757
world_10	4	46	61.9009009009009
world_1	18	42	29.833333333333332
world_2	1	164	34.526315789473685
world_3	3	97	44.40909090909091
world_4	9	156	65.61290322580645
world_5	16	156	79.55319148936171
world_6	2	101	80.53061224489795
world_7	6	84	82.7090909090909
world_8	14	148	86.84057971014492
world_9	19	112	83.5340909090909
world_10	14	49	77.63725490196079
world_1	5	26	39.0
world_2	16	25	25.476190476190474
world_3	3	149	36.958333333333336
world_4	19	107	50.74418604651163
world_5	10	96	58.62264150943396
world_6	16	136	65.3768115942029
world_7	5	28	64.8108108108108
world_8	19	15	54.16129032258065
world_9	19	179	63.419642857142854
world_10	5	163	65.82905982905983
world_1	10	14	18.7
world_2	8	23	23.666666666666668
world_3	19	177	69.02702702702703
world_4	20	33	52.64912280701754
world_5	13	170	62.31428571428572
world_6	1	1	61.46478873239437
world_7	20	84	59.56043956043956
world_8	12	148	66.06796116504854
world_9	5	127	68.25925925925925
world_10	17	88	67.48
world_1	15	60	48.266666666666666
world_2	4	117	60.8421052631579
world_3	18	2	32.91891891891892
world_4	7	115	44.95454545454545
world_5	7	33	45.372549019607845
world_6	11	44	45.25806451612903
world_7	10	97	51.888888888888886
world_8	19	46	47.67032967032967
world_9	4	148	50.62105263157895
world_10	14	95	53.79816513761468
world_1	6	22	26.833333333333332
world_2	1	128	38.714285714285715
world_3	7	152	77.78571428571429
world_4	8	88	84.5
world_5	17	106	79.6923076923077
world_6	3	150	82.5
world_7	20	61	68.35483870967742
world_8	6	100	71.8970588235294
world_9	1	184	72.6231884057971
world_10	5	154	75.8108108108108
world_1	15	103	71.46666666666667
world_2	10	164	89.36
world_3	2	48	89.33333333333333
world_4	3	83	91.13333333333334
world_5	9	113	91.61538461538461
world_6	8	21	81.29787234042553
world_7	4	145	84.13725490196079
world_8	19	123	82.72857142857143
world_9	9	149	86.21518987341773
world_10	17	174	88.42708333333333
world_1	2	96	94.0
world_2	17	174	110.47368421052632
world_3	18	198	113.48648648648648
world_4	9	138	112.67391304347827
world_5	7	109	111.0
world_6	11	53	101.5625
world_7	1	8	100.41538461538461
world_8	8	46	96.08219178082192
world_9	6	190	98.36708860759494
world_10	20	149	97.02020202020202
world_1	6	93	102.16666666666667
world_2	11	21	50.94117647058823
world_3	14	161	77.64516129032258
world_4	10	149	87.6829268292683
world_5	5	46	86.6304347826087
world_6	9	176	92.47272727272727
world_7	2	84	92.85964912280701
world_8	7	79	93.890625
